timestamp,data
37.0,q:-0.493:-0.527:0.467:0.511,a:1.570:-10.035:-0.422,la:0.016:0.070:0.000,g:0.000:0.008:0.143,m:12.313:-48.625:-76.875,grav:1.563:-10.086:-0.414,steps:0,stab:On Table
37.6,q:-0.495:-0.525:0.469:0.509,a:0.039:-10.000:-0.422,la:0.055:0.063:0.039,g:-0.002:-0.012:0.166,m:19.813:-52.750:-73.813,grav:0.086:-10.008:-0.430,steps:0,stab:On Table
38.1,q:-0.531:-0.490:0.505:0.473,a:0.000:-9.965:-0.461,la:0.016:0.031:-0.023,g:-0.004:-0.008:0.158,m:19.063:-52.750:-76.125,grav:0.016:-10.000:-0.430,steps:0,stab:On Table
38.6,q:-0.533:-0.488:0.507:0.471,a:-0.727:-9.770:-0.422,la:0.059:0.098:0.023,g:0.000:-0.012:0.162,m:22.813:-58.313:-75.750,grav:-0.781:-9.844:-0.445,steps:0,stab:On Table
39.2,q:-0.567:-0.448:0.540:0.431,a:-1.492:-9.613:-0.461,la:0.055:0.035:-0.023,g:-0.004:0.002:0.158,m:24.313:-58.313:-76.875,grav:-2.203:-9.414:-0.453,steps:0,stab:On Table
39.7,q:-0.569:-0.446:0.542:0.428,a:-2.910:-9.117:-0.461,la:0.004:-0.023:-0.008,g:-0.006:-0.012:0.160,m:27.250:-62.438:-78.500,grav:-2.281:-9.375:-0.453,steps:0,stab:On Table
40.2,q:-0.587:-0.423:0.560:0.404,a:-3.563:-8.500:-0.496,la:0.035:0.031:-0.008,g:0.002:0.004:0.141,m:27.625:-63.563:-78.063,grav:-3.594:-8.734:-0.461,steps:0,stab:On Table
40.8,q:-0.615:-0.383:0.586:0.363,a:-4.137:-8.273:-0.383,la:-0.043:-0.031:0.008,g:-0.002:0.004:0.119,m:31.375:-66.188:-80.000,grav:-4.156:-8.359:-0.492,steps:0,stab:On Table
41.7,q:-0.616:-0.381:0.587:0.361,a:-5.211:-7.512:-0.535,la:0.043:0.063:0.109,g:0.000:-0.012:0.137,m:29.500:-70.688:-79.250,grav:-4.219:-8.305:-0.484,steps:0,stab:On Table
42.2,q:-0.639:-0.340:0.611:0.320,a:-5.211:-7.512:-0.461,la:-0.164:0.148:0.000,g:0.000:0.000:0.141,m:32.875:-75.938:-81.938,grav:-5.094:-7.617:-0.461,steps:0,stab:On Table
